selected_site,Z,pop_dev,cost_over,water_short,env_short
Rjim_Maatoug,31039.307202000004,251.84316,582.87815,1.3104851,0.0
Rjim_Maatoug,33560.004197999995,285.86516,494.84748,1.2506699,0.0
Rjim_Maatoug,30394.711620000002,249.42004,542.6931,1.288831,0.0
Boughrara,36614.9021,320.37446,457.74561,0.0,0.0
Boughrara,33603.7313,294.65025,413.87063,0.0,0.0
Rjim_Maatoug,36279.748368,299.39753,631.69336,1.1530884,0.0
Rjim_Maatoug,29890.372294,252.19975,464.68964,1.1750447,0.0
Rjim_Maatoug,31315.437948000003,277.73431,351.74808,1.2263074,0.0
Boughrara,30259.2552,250.70861,518.83942,0.0,0.0
Boughrara,29496.5413,238.07679,568.88623,0.0,0.0
Rjim_Maatoug,33707.774104000004,293.61317,431.68438,1.4806652,0.0
Boughrara,31170.253699999997,272.64309,390.59447,0.0,0.0
Boughrara,34829.7002,305.85824,424.38762,0.0,0.0
Rjim_Maatoug,33680.6826642,284.11419,525.11866,0.90385321,0.0
Boughrara,29410.664299999997,242.47798,516.28663,0.0,0.0
Boughrara,31166.9856,269.02745,426.42406,0.0,0.0
Boughrara,33837.063200000004,292.52703,458.43602,0.0,0.0
Rjim_Maatoug,31629.879392000003,261.64074,543.86916,1.3556896,0.0
Boughrara,28778.6088,251.76344,360.22648,0.0,0.0
Rjim_Maatoug,33486.82223,280.24594,543.74006,1.2413815,0.0
Boughrara,32277.2694,278.37858,443.94114,0.0,0.0
Rjim_Maatoug,33449.5861,271.45471,627.83608,1.287715,0.0
Boughrara,33016.6516,279.4243,507.42216,0.0,0.0
Boughrara,30053.634299999998,241.02517,595.11173,0.0,0.0
Rjim_Maatoug,35017.875801999995,290.99376,588.99398,1.4280001,0.0
Boughrara,31619.9605,263.92518,522.74425,0.0,0.0
Rjim_Maatoug,33938.513738,286.12246,530.08163,1.2725719,0.0
Boughrara,31397.559400000002,254.29667,596.78924,0.0,0.0
Boughrara,32651.6521,275.09175,514.24771,0.0,0.0
Boughrara,29726.4418,240.86145,564.02968,0.0,0.0
Rjim_Maatoug,28675.702518,238.82629,476.63278,1.3372859,0.0
Rjim_Maatoug,32827.110327999995,274.15729,538.83116,1.1534864,0.0
Boughrara,30163.3074,258.74882,428.84254,0.0,0.0
Rjim_Maatoug,28042.007516,224.03111,561.52775,1.1809508,0.0
Boughrara,27764.5166,234.30358,433.41586,0.0,0.0
Boughrara,30868.9342,263.58038,451.08962,0.0,0.0
Boughrara,30514.575800000002,256.15688,489.88878,0.0,0.0
Boughrara,29636.221299999997,258.40639,379.55823,0.0,0.0
Rjim_Maatoug,32781.574250000005,270.85315,567.4669,1.0795125,0.0
Boughrara,32369.4905,274.86758,488.27325,0.0,0.0
Boughrara,35194.2542,299.68799,522.54552,0.0,0.0
Boughrara,30118.164,256.02224,451.594,0.0,0.0
Boughrara,32340.584300000002,266.22521,571.80633,0.0,0.0
Boughrara,31699.503500000003,270.36621,466.28825,0.0,0.0
Boughrara,33869.960699999996,291.46428,472.35327,0.0,0.0
Boughrara,30895.1395,271.02922,379.22175,0.0,0.0
Rjim_Maatoug,32860.746734,278.46621,498.91423,1.2491717,0.0
Boughrara,28876.9397,231.55264,572.16757,0.0,0.0
Rjim_Maatoug,32695.135111999996,258.34324,683.60069,1.2402106,0.0
Boughrara,33994.1633,292.61388,473.27753,0.0,0.0
Boughrara,33227.2508,289.47401,427.98498,0.0,0.0
Rjim_Maatoug,29717.75552,245.48887,514.48975,1.198551,0.0
Boughrara,28061.4204,231.07779,495.36414,0.0,0.0
Boughrara,32989.8210986,286.13099,437.3281,0.17205493,0.0
Boughrara,28457.0855,226.66911,579.01745,0.0,0.0
Rjim_Maatoug,29339.273567999997,234.70158,584.22764,1.3419584,0.0
Boughrara,29790.810800000003,238.59424,593.13868,0.0,0.0
Rjim_Maatoug,28146.354823999995,230.93344,502.95237,1.1743562,0.0
Rjim_Maatoug,27972.212556,233.33062,461.44579,1.2346328,0.0
Boughrara,32923.6671,276.55218,526.84491,0.0,0.0
Boughrara,31105.379299999997,252.04366,590.10133,0.0,0.0
Boughrara,32814.2055,274.00379,541.38265,0.0,0.0
Boughrara,27027.579299999998,224.96444,453.11353,0.0,0.0
Boughrara,32407.7466,269.83231,542.45156,0.0,0.0
Boughrara,28760.6715,244.20613,434.00585,0.0,0.0
Boughrara,31391.923100000004,263.54002,503.79211,0.0,0.0
Rjim_Maatoug,32232.046978,266.44077,556.29327,1.2518639,0.0
Boughrara,28917.333099999996,238.62685,505.46481,0.0,0.0
Boughrara,31008.4542,269.3183,407.66242,0.0,0.0
Boughrara,28593.328800000003,239.93673,459.96558,0.0,0.0
Rjim_Maatoug,31886.160290000003,262.32073,562.73864,1.3350445,0.0
Boughrara,31509.765300000003,263.06261,520.35043,0.0,0.0
Rjim_Maatoug,31553.192148,263.3621,518.96417,1.3670224,0.0
Rjim_Maatoug,33445.60437,278.0835,561.18379,1.2708235,0.0
Rjim_Maatoug,32188.204058,267.58862,540.40843,1.2628879,0.0
Boughrara,30232.0631,254.07508,482.45551,0.0,0.0
Boughrara,37895.4229,318.92715,600.27079,0.0,0.0
Boughrara,35721.9247,303.59039,536.28857,0.0,0.0
Boughrara,28049.9281,229.49499,510.04291,0.0,0.0
Boughrara,28953.8096,242.33061,472.07486,0.0,0.0
Boughrara,31042.1109,269.33862,410.82489,0.0,0.0
Rjim_Maatoug,36261.148596,314.36367,480.07684,1.2006598,0.0
